180000,F,South Paw Judy of Q-t Cats,PER f,...,CFA 0147-264777 V0787,,
180001,M,South Paw Kelvin,PER w 62,...,ASFE LO 18163,180047,179969
180002,M,South Paw Khaki of Woodspirit,PER e 22,...,CFA 0114-443256,,
180003,F,South Paw Lil'Sis,PER w 62,...,CFA 0103-420294 V1189,180007,179990
180004,F,"South Paw Lollipop, DM",PER g,...,CFA 0151-345119 V1087,179988,177106
180005,F,South Paw Miss Hungary,PER w 62,...,MMOE LO 53226,179978,180020
180006,M,South Paw Moonlight Bandit,PER n,...,CFA 0108-718876 V0994,180028,180040
180007,M,"South Paw Moonlighting, DM",PER w 62,11-04-1985,CFA 0102-291836 V0886,144699,191479
180008,M,South Paw Name That Tune of Jenita,PER d,...,CFA 0110-225219 V0486,,
180009,F,"South Paw Over The Rainbow, DM",PER f,19-03-1986,CFA 0147-322392 V0988,,
180010,M,South Paw Polar Bear,PER w 62,22-08-1999,CFA 0102-1281963 V0203,179974,179998
180011,F,South Paw Reba of Palmetto,PER f,21-04-1991,CFA 0147-709906 V0894,180047,154791
180012,M,South Paw Red Cavalier,PER d,...,CFA 0110-427120,179988,
180013,M,South Paw Red Chief of Byrdseye,PER d,...,CFA 0110-402805 V0688,180007,154791
180014,M,South Paw Red Racer of Jimelene,PER d,...,CFA 0110-285514 V1086,144699,180037
180015,F,South Paw Rosie of Sunny Ridge,PER f,...,CFA 0147-401426 V0788,179988,177106
180016,F,South Paw Search for Tomorrow,PER w 62,24-11-1985,CFA 0103-311746 V0787,179988,191479
180017,M,South Paw Short Cake of Carasol,PER d,...,CFA 0110-062507 V0583,179991,178330
180018,F,South Paw Snickerdoodle of Everette,PER n,...,CFA 0109-181477 V0485,179987,180039
180019,F,South Paw Soho,PER f,03-04-1992,FD LO 68934,179978,179997
180020,F,"South Paw Spotlight, DM",PER w 62,...,CFA 0103-547206,166465,176720
180021,F,South Paw Squirrely,PER f,...,CFA 0147-452289 V0789,144699,179992
180022,F,South Paw Star Spangled,PER w 62,23-05-1993,CFA 0103-863771 V0994,,
180023,M,South Paw Starblitz of Sundew,PER w 62,22-11-1990,CFA 0102-685769 V0892,179978,180025
180024,F,South Paw Starlet of Jennycats,PER w 62,27-03-2000,CFA 0103-1312636 V0902,179974,179984
180025,F,"South Paw Starlight, DM",PER w 62,08-05-1989,CFA 0103-547204 V0690,180047,180031
180026,F,South Paw Starling,PER w 62,...,CFA 0103-674498,180047,180020
180027,F,"South Paw Starstruck, DM",PER w 62,12-06-1990,CFA 0103-642570 V1291,,
180028,M,"South Paw Sun Beau of Karleton, DM",PER n,...,CFA 0108-319872 V1288,180029,154791
180029,M,"South Paw Sunburst, DM",PER d,25-05-1981,CFA 0110-071449 V0583,179991,191470
180030,M,South Paw Sunday Punch,PER n,...,CFA 0108-406648 V0289,180029,180041
180031,F,"South Paw Sunlight, DM",PER e,22-09-1987,CFA 0115-428348 V1288,180029,154764
180032,F,"South Paw Sunny Daze, DM",PER d,...,CFA 0111-345120,180029,154791
180033,M,South Paw Sunny Side O'The Street,PER d,...,CFA 0110-233592,,
180034,F,South Paw Sunny Star of Paquita,PER f,...,CFA 0147-322393,,
180035,M,South Paw Sunny's Halo,PER n,...,CFA 0108-322395 V0887,180029,154791
180036,M,South Paw Sunset Blvd of Framor,PER d,06-04-1990,FD LO 82394,180028,180021
180037,F,South Paw Sunstroke,PER d,...,CFA 0111-178398 V1084,180029,179971
180038,F,South Paw Surprise,PER n,...,CFA 0109-304590 V0787,144699,180039
180039,F,South Paw Sweepstakes,PER n,...,CFA 0109-068127 V0883,,
180040,F,"South Paw Tammy Faye, DM",PER g,...,CFA 0151-465369,139457,180016
180041,F,South Paw Tina Turner,PER n,...,CFA 0109-242250 V0886,144699,180039
180042,F,South Paw Topsy Turvy,PER f,...,CFA 0147-863768,,
180043,M,South Paw Tune Up,PER n,...,CFA 0108-248584,,
180044,M,South Paw Twilight of Woodspirit,PER w 62,...,CFA 0102-580143 V1191,180007,180004
180045,F,South Paw White Cloud of Cattrax,PER w 62,17-08-1991,CFA 0103-737957 V0892,179978,180027
180046,M,South Paw Wish Kid,PER w 62,...,ÖVEK PERw62-7390/XV,180047,180020
180047,M,"South Paw Wish Upon A Star, DM",PER w 62,22-07-1986,CFA 0102-345118 V0789,180007,135510
180048,M,Southern Comfort af Tamara,PER d,11-03-1993,FD LO 70707,124792,188852
180049,M,Southern Comfort of Duchess DK,PER e,20-05-1991,FD LO 62975,192162,20145
180050,F,Southern Wild Cherry,ABY n,...,GCCF NS 116366,,
180051,F,Southerncurl Doodle Bug,ACL fy 23,...,CFA 8247-1228422,,
180052,M,Southhill Aristophenes,PER ns 11,...,CFA 0132-243554 V0485,128080,118317
180053,M,Southhill For Petes Sake,PER ns 12,10-05-1989,FD LO 62308,186370,180054
180054,F,Southhill Gidgette,PER ns 11,...,CFA 0133-347419 V0488,24417,176727
180055,F,Southhill Victoria's Angel,PER ns 12,...,CFA 0131-418268 V0988,186370,176727
180056,M,Southhill's Duke,PER ns 11,28-07-1988,FD LO 70776,186370,180055
180057,M,Southhill's Duke of Falkenhaus,PER ns 11,...,CFA 0132-478955 V0889,186370,180055
180058,F,Southhill's Eve of Goldstone,PER ns 11,...,CFA 0133-452356 V0589,186370,180054
180059,F,Southhill's Legacy,PER ns 12,...,CFA 0131-532355 V0291,135631,180058
180060,F,Southhill's Twinkle of Mangalores,PER ns 12,...,SVERAK LO 101065,186370,180059
180061,F,Southlea Simone,SIA c,31-03-1982,GCCF NS 200881,,
180062,M,Southlea Superscamp,SIA n,...,GCCF NS 173100,,
180063,F,Southmoor's Dragon Pearl,MCO f 09,...,(NL)FE.L06.MCO.017.3,20911,143809
180064,F,Southpole Snipper,SIB fs 03,...,TICA SBT 111597 015,,
180065,F,Southpole Xshu Xshu,SIB fs 03,...,TICA SBT 052800 015,146564,16547
180066,F,Southpole's Scarlett,SIB f 03 23,...,TICA SBT 092397 020,146564,16547
180067,M,Southview Duakylin,OSH b,...,GCCF SROS 228488,,
180068,F,Southwave Aphrodite of Crescent Kat,CRX n 01 33,...,CFA 0981-1402306 V0702,24180,22095
180069,F,Sovetryne Felis Jubatus,NFO n,13-05-1994,FD LO 75765,123830,186101
180070,F,Soya 03-020,NFO f,19-05-2003,FD LO 121690,95701,95706
180071,M,Soya von Sivebæk DK,SBI b,19-01-2004,FD LO 125870,177345,7456
180072,F,Soylihavic Salgam,TUV d 62,...,NRR LO 60384,128137,137446
180073,M,Soylu de Saint Glinglin,TUA w 63,...,NCT 892054,,
180074,F,Sozami van de Lieve Knotte Bollen,MCO g,...,RVT 109.667,23617,163748
180075,F,Sozami's Kelly,MCO d 22,...,NKFV RVT 104.016,124841,179938
180076,F,Sozia Vores Lynx DK,NFO f 09,16-07-1994,FD LO 77751,30760,130418
180077,M,Spacy by Dannevirke,PER d 03,26-06-1992,FD LO 68276,118996,103952
180078,M,Spada Fleet At Morning,PER a,...,CCCA NSWCFA (N) 26071,190358,180079
180079,F,Spada Gala At Morning,PER g,...,XX 965,,
180080,M,Spalding's Arthur Fitz,PER a 03,...,CFA 0190-000714 V110,,
180081,F,Spalding's Demelza,PER g 03,...,1.DEKZV 034097,,
180082,F,Spalding's Emily of Iran,PER e 03,...,CFA 0191-000836 V112,180083,132837
180083,M,Spalding's Lucifer,PER d 22,...,CFA 0140-002965 V110,,
180084,M,Spandau Ballet af Tamara,PER e,19-01-1996,FD LO 84032,43614,177232
180085,F,Spanglett of Drinkwater,BEN x ns 24,...,TICA SBT 042107 064,180804,7080
180086,F,Spanjer's Fat Bottomed Girl,BRI g,...,SNVK A00-02-044K,,
180087,F,Spanjer's Panda Boo,BRI n 03,...,SNVK A03-02-009K,119530,180086
