15|F|(A)LangThai's Zeudi Araya|OSH b|...|ANFI LO 79666|1587|132845
113|M|(N)Astasiam Baffin Bellmann|SIA a|...|NRR LO 105604|159582|143062
114|F|(N)Astasiam Chula Chamante|SIA n|29-11-1992|FD LO 84831|177004|143062
115|F|(N)Astasiam Cindy Celerina|SIA n|29-11-1992|NRR LO 107903|177004|143062
116|M|(N)Astasiam Iceblue Isak|SIA a|04-10-2002|NRR LO 134768|118702|150862
120|M|(N)Attack's Devil-sTail|BAL d|17-11-2004|FD LO 132101|118572|16978
121|F|(N)Attack's Long Kiss|BAL g|17-11-2004|NRR LO 140057|118572|16978
122|M|(N)Attack's Miu Miu|BAL d 21|19-04-2006|SVERAK LO 223654|170180|121
135|F|(N)BatStar Oh Yeah|OSH g 24|16-07-2007|(SE)SVERAK LO 237686|124085|175026
146|F|(N)Benill's Amor|SIA a|...|NRR LO 100044||
214|M|(N)Caelitus Déjá-vu|SIA d|04-12-2007|(SE)SVERAK LO 247317|151521|173850
218|F|(N)C-Am's Oriental Blue Lagoon|OSH a|...|NRR LO 124810||
219|F|(N)C-Am's Oriental Desiree|OSH a 24|24-11-2000|SVERAK RX 174747|671|218
249|F|(N)Catline Miss Elouise|BAL g 21|...|NRR LO 108330|179553|151773
250|F|(N)Catline Miss Ezzie|BAL g 21|...|NRR LO 108329||
269|F|(N)Chiang Si's Lady Camouflage|OSH f|...|NRR LO 102557||
270|M|(N)Chocolaterie Deux Lai-La Rouge|SIA d|...|NRR LO 106654|167261|181820
271|F|(N)Chriar's Ansell|SIA n 21|...|NRR LO 119421|966|963
272|M|(N)Chriar's Morten Minstemann|SIA n|...|NRR LO 124852||
276|F|(N)Cir-Da-Mir Anabele M|SIA n|...|SVERAK LO 118624||
277|F|(N)Cj De's Isis Angelica|SIA a|...|NRR LO 136990|173924|311
278|F|(N)Coco Chanel's Duchesse Draquella|OSH n 24|29-05-2009|FD LO 157713|166876|123377
279|F|(N)Coco Chanel's Everblue|SIA a|...|NRR LO 112015|23197|501
280|F|(N)Coco Chanel's Mercedes|OSH n 24|23-03-2008|(S)SVERAK LO 246345|123724|148555
281|M|(N)Coco Chanel's Moonswift|SIA n|03-02-1997|SVERAK RX 147044|143059|160588
305|F|(N)Damrong's Atlanta|SIA g|...|NRR RX 114775|395|532
306|F|(N)Damrong's Ballentine|BAL g|...|NRR LO 119107|525|532
307|M|(N)Damrong's Bell Canto|SIA n|14-03-2001|NRR LO 129917|272|143052
308|M|(N)Damrong's Choreta|BAL e 21|14-11-1997|FD LO 103068|525|305
309|M|(N)Damrong's Fitzroy|SIA n|15-03-2008|(SE)SVERAK LO 255491|185903|157029
310|M|(N)Damrong's Goldfinger|SIA c|24-02-2001|(NO)NRR LO 130059|166828|166827
311|F|(N)Damrong's Lady Roxanne|SIA n|15-02-2002|NRR LO 132418|307|314
312|M|(N)Damrong's Maybe it's Love|SIA n|...|NRR LO 137956|175074|143052
313|F|(N)Damrong's Meskhenet|SIA b|23-08-2005|FD LO 137349|315|277
314|F|(N)Damrong's Moneypenny|SIA a|24-02-2001|NRR LO 130058|166825|166827
315|M|(N)Damrong's Power in Stripes, JW|SIA n 21|...|NRR LO 137955|175074|143052
316|M|(N)Damrong's Viracocha|SIA b|15-03-2008|FD LO 154858|185903|157029
323|M|(N)Decleor's Wilhelm|OSH b|...|NRR LO 108982||
379|M|(N)Felis Elegance Blue Sunrise|OSH a|...|NRR LO 120176|173126|384
380|M|(N)Felis Elegance Golden Avalon|OSH bs 22|06-03-2002|NRR LO 132467|173102|385
381|F|(N)Felis Elegance La Cheetah|OSH fs|...|NRR RX 111713|383|384
382|F|(N)Felis Elegance Miss Tiffi|OSH bs|...|NRR RX 125073|379|381
383|M|(N)Felis Elegance Syrano|OSH ds 24|...|NRR RX 108715||
384|F|(N)Felis Elegance Tiffany|OSH x ds 11|...|NRR RX 106743||
385|F|(N)Felis Elegance Zarina|OSH ns 24|...|NRR RX 129319|965|382
390|M|(N)Fidonna's Bartolomeus|SIA c|...|NRR LO 101107||
395|M|(N)Fiori Avanti's Orlando|SIA c|...|NRR LO 108491|270|5556
460|F|(N)Fuzzy Logic's Dazzling|SIA b|06-04-2007|FD LO 152932|146758|1121
474|F|(N)Gemstone's Misteltoe|SIA a|01-12-2004|FD LO 133118|6133|189930
475|F|(N)Gemstone's Peek-A-Boo|SIA a 21|04-11-2004|(N)NRR LO 140045|6133|143063
