669|M|(N)Kimburu Kwa Ajili Ya Wenzi|SOK n 22|16-09-2004|FD RX 136056|6255|6254
792|F|(N)Manhunter's Dreams Take Time|PEB x n 83|02-03-2012|(DK)FD RX 210668|121992|799
793|F|(N)Manhunter's Fascination|PEB b|02-03-2012|(DK)FD RX 210666(RR)|121992|799
800|F|(N)Manhunter's Perfectly Enough|PEB x n 83|02-03-2012|(DK)FD RX 210669|121992|799
803|F|(N)Manhunter's Whos Smiling Now|PEB n|02-03-2012|(DK)FD RX 210667(RR)|121992|799
804|M|(N)Manhunter's Xquisite Chocolade|PEB x b 83|02-03-2012|(DK)FD RX 210672|121992|799
1683|M|Abenese Hoshi of Kitai|JBT d 09|...|CFA 6662-000013 V112||
1747|M|Abraham a.d. Hause Franck|CHA|...|1.DEKZV LO 266956||
1752|M|Abrakadabra's Child in Time|DSP c 03 33|21-07-2003|EWFFg-00008.460||
1753|F|Abrakadabra's Flora Bella|DSP w|30-04-2004|EWFFgr-00028-400||
1754|F|Abrakadabra's Night Star|DSP n 09 33|06-03-2008|FD RX 157488|1752|1753
2040|M|Adcinsh Snowmagic|SNO n 05|...|GCCF CSREF 628746|20978|20975
2075|M|Adecish Snowshoo Idris|SNO n 05|...|GCCF CSEXP 769224|20978|12357
2107|F|Adentsh Daisy Pawshe|SIN non n 25 3|...|GCCF CSEXP 390180|119093|2321
2114|F|Adfursh Brunnera|SNO a 05|...|GCCF CSREF 577611||
2115|M|Adfursh Christofur Brown|SIN non n 25 3|...|GCCF CSSR 587336|162270|154810
2231|M|Admiral Matroskin of Barrayar*EST|KBS n 24|...|(RU)ARCCA RX 15850||
2232|M|Admiral Matrosskin Barrayar|KBS n 24|...|(RUS)AB-043/KBT/2002|140496|179738
2244|M|Adolf För Anuendelsen.BK|DSP d 21|...|(EST)CATO 018|161000|130510
2321|F|Adquash Sepia Rosie|SIN non n 25 3|...|GCCF CSREF 322847|18508|186264
2483|M|Advish Ice-Warrior|SNO a 05|...|GCCF CSEXP 653075||
2517|M|Afendi af Kildemose|SOK n 22|08-11-1991|FD RX REG 1529|56032|136688
2554|F|African Moon Shadow of Golden Haze DK|PEB c 21 33|22-05-2010|(DK)FD RX 159059|135928|59603
2627|F|Agara Khan|MAU n 24|...|4088-15V52||
2671|F|Agness Jouet-Couguar|SIN non|23-01-2005|PK.SIN/008/05|190529|142983
2777|F|Aicha a.d. Hause Franck|CHA|...|1.DEKZV LO  277984|157422|136942
2786|F|Aida af Cederquist DK|SOK n 22|24-08-2003|FD RX 124126|118108|184851
2838|F|Aimee Minou de Mario|CHA|...|(D)DEKZV 203108|192967|10197
2868|F|Aisa van de Schooiertjes|MAU ns 24|...|NKFV RVT 68.499|193523|121740
2907|M|Ajari of Maichrest DK|SOK n 22|01-11-1998|FD LO 98225|56032|164871
2908|M|Ajatarah Niles|MAU ns 24|06-06-2007|CFA 0842-1615629|174879|120124
2949|M|Akavaidasana af Watamu DK|SOK n 22|02-06-1987|FD RX REG 1158|154825|150851
3015|M|Akili af Cederquist DK|SOK n 22|24-08-2003|FD RX 124127|118108|184851
3021|M|Akina Bwana af Kildemose|SOK n 22|13-11-1995|FD LO 83038|136920|164871
3024|F|Akino of Renaissance|KBS g 01|...|SFF-KBSex/00002/94||
3043|F|Aksinja Fet Robinzon|KBS f 03|20-01-2005|(EST)EKL RX 3509|122733|
3046|F|Akulina Mon Plaisir|DSP n|...|PKKD 52/98/DSX||
3047|F|Akumaizer's Barafu Neko|JBT f|...|CFA 6647-152789 V0785|3051|3048
3048|F|Akumaizer's Hihana|JBT f|...|CFA 6647-083437 V1281||
3049|F|Akumaizer's Kiku|JBT f|...|CFA 6647-000021 V112||
3050|M|Akumaizer's Ofa Neko|JBT d 22|...|CFA 6640-152788 V0785|148979|3049
3051|M|Akumaizer's Shogun|JBT n 22|...|CFA 6644-083438 V0482||
3054|F|Akvarel Mif|DSP f|...|PFCA 03332/02/DSX||
3072|F|Ala Bohemia Indigo*CZ|CHA|...|CSCH LO13/99/CHA||
3100|M|Aladin de l'Onde Bleue|CHA|...|LOOF 2005.11836|189920|161214
3649|M|Alladin Mif|DSP n 09|...|RRFC 046/04/DSX||
3784|F|Almaria af Kildemose|SOK n 22|29-10-1991|FD RX REG 1527|137364|83057
3993|F|Alor Star's Allie Mae|SIN non|...|CFA 2701-1198250 V0501|133669|3994
3994|F|Alor Star's Demi-Taz|SIN non|...|CFA 2701-1027567 V0598|175479|3997
3995|M|Alor Star's Radar of Jouet-Couguar|SIN non|11-06-2004|CFA 2700-1515014|3996|3993
3996|M|Alor Star's Skidder|SIN non|...|CFA 2700-1514986 V0105|17587|3993
3997|F|Alor Star's Tarantella|SIN non|...|CFA 2701-856379 V1295||
3998|M|Alosaka of Shaman's Desires|ACL fy 23|02-07-2006|LOS 06-23963|190174|176476
4011|F|Alpha Rex vom Glücksklee|GRX n 33|...|DRU 007807 RIEX||
4037|F|Alsu Kroshka Flack|KBS fs 03 24|...|(RU)ARCCA RX 16816||
4094|F|Alvina del Iris|PEB a 33|...|HK-165/06-PBD|121770|193008
4396|F|Amanda des Lilas Bleus|CHA|...|FFF RX 15926|158949|160629
4453|F|Amara af Kildemose|SOK n 22|...|ANFI RX 6210|178697|135935
4592|F|Amelie v. Oranna|CHA|...|(D)DEKZV LO 267683|157422|161241
4847|M|Amun Ra Egipetskiy Sfinks|PEB a|...|WCF PL SKR RX 0053|127559|142025
4855|F|Amusant Ariett Greta|ACL ns 22|...|004-037-92/KP|130767|
4969|M|Anatole de Ballymonelies|CHA|...|LOOF 2005.8505|189753|144768
5005|F|Andikasana af Jilori DK|SOK x n 21 33|15-09-1995|FD RX 10828|124827|141737
5092|F|Andromeda Eriniya Mif|DSP n|...|(RU)0106-DSX/3-00||
5141|F|Anette de Callicat|CHA|...|CPPK 35/93/CHA||
5146|F|Anfisa|NEM n 21|...|Missing Info (040)||
5324|F|Angelina Prima Felines*EST|DSP n|07-03-2008|(EST)CATO 714-08-DSX|190160|132489
5502|F|Anis Coeur de Zephir|CHA|...|(HU)FH LO 00039||
5503|F|Anis de Ballymonelies|CHA|...|LOOF 2005.6955|189753|187728
