1683|M|Abenese Hoshi of Kitai|JBT d 09|...|CFA 6662-000013 V112||
1752|M|Abrakadabra's Child in Time|DSP c 03 33|21-07-2003|EWFFg-00008.460||
1753|F|Abrakadabra's Flora Bella|DSP w|30-04-2004|EWFFgr-00028-400||
1754|F|Abrakadabra's Night Star|DSP n 09 33|06-03-2008|FD RX 157488|1752|1753
2040|M|Adcinsh Snowmagic|SNO n 05|...|GCCF CSREF 628746|20978|20975
2075|M|Adecish Snowshoo Idris|SNO n 05|...|GCCF CSEXP 769224|20978|12357
2114|F|Adfursh Brunnera|SNO a 05|...|GCCF CSREF 577611||
2231|M|Admiral Matroskin of Barrayar*EST|KBS n 24|...|(RU)ARCCA RX 15850||
2232|M|Admiral Matrosskin Barrayar|KBS n 24|...|(RUS)AB-043/KBT/2002|140496|179738
2244|M|Adolf För Anuendelsen.BK|DSP d 21|...|(EST)CATO 018|161000|130510
2483|M|Advish Ice-Warrior|SNO a 05|...|GCCF CSEXP 653075||
3024|F|Akino of Renaissance|KBS g 01|...|SFF-KBSex/00002/94||
3043|F|Aksinja Fet Robinzon|KBS f 03|20-01-2005|(EST)EKL RX 3509|122733|
3046|F|Akulina Mon Plaisir|DSP n|...|PKKD 52/98/DSX||
3047|F|Akumaizer's Barafu Neko|JBT f|...|CFA 6647-152789 V0785|3051|3048
3048|F|Akumaizer's Hihana|JBT f|...|CFA 6647-083437 V1281||
3049|F|Akumaizer's Kiku|JBT f|...|CFA 6647-000021 V112||
3050|M|Akumaizer's Ofa Neko|JBT d 22|...|CFA 6640-152788 V0785|148979|3049
3051|M|Akumaizer's Shogun|JBT n 22|...|CFA 6644-083438 V0482||
3054|F|Akvarel Mif|DSP f|...|PFCA 03332/02/DSX||
3649|M|Alladin Mif|DSP n 09|...|RRFC 046/04/DSX||
3998|M|Alosaka of Shaman's Desires|ACL fy 23|02-07-2006|LOS 06-23963|190174|176476
4011|F|Alpha Rex vom Glücksklee|GRX n 33|...|DRU 007807 RIEX||
4037|F|Alsu Kroshka Flack|KBS fs 03 24|...|(RU)ARCCA RX 16816||
4855|F|Amusant Ariett Greta|ACL ns 22|...|004-037-92/KP|130767|
5092|F|Andromeda Eriniya Mif|DSP n|...|(RU)0106-DSX/3-00||
5146|F|Anfisa|NEM n 21|...|Missing Info (040)||
5324|F|Angelina Prima Felines*EST|DSP n|07-03-2008|(EST)CATO 714-08-DSX|190160|132489
5823|F|Anthany's Rap Saidai of Cacin|JBT n 09|02-08-1998|CFA 6661-516165 V0290||
5948|M|Antonius von Sitavia|GRX d 24|08-02-1997|Felina 09055466 RIEX|120657|21943
5954|M|Antre Don Favori|DSP a|04-03-2011|(DK)FD LO 212831|24467|119766
