251   |F|(N)Catline Papaia                      |NFO n 09 22 |31-08-1990|FD LO 61692      |1020  |954   
406   |F|(N)Flatland's Avedine, DM              |NFO w       |17-08-1985|FD RX 4423       |20002 |20472 
409   |F|(N)Flatland's Brynhilde, DM            |NFO n 09 22 |27-03-1989|FD RX 6039       |159617|730   
412   |F|(N)Flatland's Clara, DM                |NFO n 09 23 |01-04-1990|FD RX 6716       |187066|730   
416   |F|(N)Flatland's Gina                     |NFO n 09    |19-11-1994|FD LO 83252      |410   |360   
714   |F|(N)Laksjøen's Vilde                    |NFO f 09 23 |13-09-1997|FD LO 92265      |1146  |713   
996   |F|(N)Påveskardet's Linnea Rosé           |NFO ns 09   |15-10-1998|FD LO 98470      |169817|172786
3607  |F|Alison Gross Felis Audax DK            |NFO n 09    |05-07-1989|FD LO 56301      |128869|138510
3843  |F|Alomi's Can-Can                        |PER n       |01-12-1996|FD LO 88205      |190087|184062
3956  |F|Alomi's Viola Vandskræk                |PER g 33    |19-07-1990|FD LO 60346      |16902 |162231
3960  |F|Alomi's We-Got-A-Love- Thang, DM       |PER e 33    |20-03-1992|FD LO 66954      |155469|162231
4313  |F|Amalie 93-169                          |BML ns 11   |07-06-1993|FD RX REG 1657   |126178|184605
7596  |F|Attillio's Fine                        |SBI a       |10-02-1986|FD LO 42804      |178237|19653 
9526  |F|Bardolino's Lutzi                      |PER w 62    |03-05-1987|FD LO 47220      |141242|9477  
11280 |F|Bergansius Nehalennia, DM              |NFO w       |24-06-1994|FD LO 79331      |128869|130452
11848 |F|Bika's Kis                             |PER d 03    |29-05-1989|FD LO 55629      |11831 |11824 
12352 |F|Bitten av Falchebo(N)                  |NFO a 09 22 |27-03-1990|FD RX 7036       |363   |175849
16294 |F|Cactusway's Mollie Brown               |PER b       |23-10-1986|FD LO 48761      |159843|16299 
20054 |F|Chu-Chu af Reedtz                      |PER f 23    |12-04-1991|FD RX 7237       |19860 |155314
20896 |F|Coco Chanel Dølby's Silva DK           |NFO w       |27-08-2004|FD LO 129773     |153672|43295 
21380 |F|Coonmora Keegan                        |MCO n 22    |...       |FD LO 70218      |21396 |21936 
26216 |F|DK Algieba's Askepot                   |NFO ns 09   |01-12-1989|FD LO 57556      |25487 |137815
26640 |F|DK Alope's Cheyenne Autumn (P)         |MCO f 09    |07-10-1993|FD LO 73828      |145444|146021
28065 |F|DK Apiatif's Lilac Hyacinth            |BRI c       |04-11-1999|FD RX 13982      |38091 |28010 
29717 |F|DK Babette's Sandra                    |NFO f 09    |30-05-2003|FD LO 121595     |130712|111014
30658 |F|DK Baobab's Nerium                     |NFO a 09 23 |24-02-1992|FD LO 66504      |86920 |86876 
30921 |F|DK Barsøe's Snøvs                      |BRI a       |16-09-1986|FD LO 45390      |185092|129258
32869 |F|DK Biloxi's Chilli of Bearcoon         |MCO d 22    |25-06-2002|FD LO 116211     |32855 |10380 
36744 |F|DK Can Do's Mongolian Barbecue         |EXO f 03    |06-07-1992|FD RX 8568       |129928|121255
37112 |F|DK Cataffairs Alisja                   |BRI a       |03-06-2005|FD LO 134680     |179612|23702 
37561 |F|DK Catwalk's Afrodite                  |BRI a       |09-07-1995|FD RX 10541      |141096|182671
39357 |F|DK Chat Woods Shalimar                 |NFO w 61    |05-05-2000|FD LO 104702     |178850|44400 
40882 |F|DK Coldnorth Nebraska T.               |MCO n 22    |26-05-2006|FD LO 141419     |106138|138954
42634 |F|DK Cozy Farm Magnificent Polly P       |MCO d 22    |14-12-1991|FD LO 66924      |154278|147133
42711 |F|DK Cozy Farm Utopia                    |MCO fs 22   |22-12-1992|FD LO 70475      |154260|21375 
43692 |F|DK Dansbjergs Alice                    |NFO n 09 22 |13-03-1991|FD LO 62648      |159626|102996
43940 |F|DK Dansbjergs Debbie                   |NFO w 63    |03-10-1995|FD LO 84012      |43701 |173481
44053 |F|DK Dansbjergs Emma                     |NFO n 09 22 |01-07-1993|FD LO 72226      |44944 |12352 
44153 |F|DK Dansbjergs Franni                   |NFO a 09    |14-04-1996|FD LO 85410      |43701 |12352 
44792 |F|DK Dansbjergs Ofelia II                |NFO f 22    |19-07-1995|FD LO 82125      |43859 |44884 
45005 |F|DK Dansbjergs Rubi                     |NFO n 25    |09-08-1995|FD LO 82587      |1247  |44800 
49570 |F|DK Europa's Fynske Nattergal           |NFO a 09 22 |12-05-1999|FD LO 99185      |155370|71196 
49696 |F|DK Europa's Julle Liv, DM              |NFO n 09 22 |29-10-1999|FD LO 101783     |50032 |49677 
49701 |F|DK Europa's Jytte Hilden               |NFO n 22    |02-09-2001|FD LO 111812     |49645 |49696 
49791 |F|DK Europa's Nougat Nød, DM             |NFO n       |07-09-1996|FD LO 87296      |99828 |49607 
50619 |F|DK Family's Silver Spoon               |NFO ns 23   |15-05-2000|FD LO 104755     |153513|134459
51767 |F|DK Fionia's Blå Perle                  |BRI a       |09-01-1995|FD LO 79157      |139642|29019 
51774 |F|DK Fionia's Rebekka                    |BRI g       |13-01-1996|FD LO 83731      |142863|29019 
52592 |F|DK Florian's Hot Shut                  |MCO n 09 22 |08-01-2002|FD LO 113761     |146148|52651 
52686 |F|DK Florian's Sexy Eyes                 |MCO n 09 22 |14-12-1997|FD LO 93184      |18819 |193625
53218 |F|DK Fort Red Oak's Flame                |MCO f 09    |31-05-1999|FD LO 100306     |79043 |96537 
56253 |F|DK Greatest Hits Evelyn Hope           |NFO a 09 23 |13-10-1998|FD LO 97091      |164622|12215 
56257 |F|DK Greatest Hits Nefertite, DM         |NFO a 09    |28-07-1988|FD LO 52973      |28619 |126655
56397 |F|DK Greystoke's Kinnie Kazou            |PER ns 11   |15-04-1993|FD LO 72052      |185648|134506
57247 |F|DK Hagsten's Emma, DM                  |NFO gs 23   |01-07-1995|FD LO 81535      |173981|109146
59281 |F|DK Hopeless Tribes Kwani               |MCO n 22    |08-03-1998|FD LO 94121      |42630 |78992 
61930 |F|DK Jente's Kamelia                     |SBI a       |19-07-1990|FD LO 61021      |6984  |134500
62476 |F|DK Joy of Living's Exotic Indian Summer|EXO f 03    |05-09-1992|FD LO 69292      |52823 |140173
64886 |F|DK Keystone Last Dance                 |PER g 33    |03-01-2000|FD LO 102941     |190772|65008 
65463 |F|DK Kiki Dee's Mischa                   |BRI a       |18-04-2004|FD LO 126821     |29035 |53620 
65512 |F|DK Kikkis Fie                          |BRI j       |07-07-1991|FD LO 64791      |142774|187261
65566 |F|DK Killix Cindy Crawford, DM           |NFO n 22    |08-06-1999|FD LO 100143     |49502 |49791 
66242 |F|DK Kiru's Miss Alliss                  |SBI a       |15-10-2001|FD RX 112459     |162010|66144 
66674 |F|DK Kitaras Ari                         |NFO n 23    |12-07-2000|FD LO 104732     |108484|2594  
67041 |F|DK Klarborg's Frida                    |NFO ns 09 23|16-07-2000|FD LO 105863     |43700 |44153 
68353 |F|DK Kringsholm's Ragna                  |NFO f 09 23 |09-11-1987|FD RX 5289       |105895|118460
69416 |F|DK La Chatte Belle                     |BRI a       |27-12-1995|FD RX 10937      |141096|67115 
73625 |F|DK Lucky Cat's Patsy (P)               |MCO es      |05-11-1993|FD LO 74198      |83760 |77559 
75878 |F|DK Malevitch Lily of the Valley        |RUS         |17-06-2003|FD LO 122183     |122973|75791 
77582 |F|DK Mega Odessa (P)                     |MCO a       |05-07-1993|FD LO 73334      |128474|77531 
78992 |F|DK Milinocket's Eau Claire (P)         |MCO f 23    |08-07-1993|FD LO 72661      |42640 |42625 
79659 |F|DK Misbehavin' Hallelujah              |SIA b       |08-08-1991|FD LO 64496      |144282|20656 
79731 |F|DK Misbehavin' Ragazza                 |SIA n       |04-07-1995|FD LO 81662      |150036|18638 
81867 |F|DK Mountaineer's Charmetrold           |MCO n 09 23 |24-04-1993|FD LO 71854      |77552 |77513 
81956 |F|DK Mountaineer's Kittiwack             |MCO ns 22   |20-11-1995|FD LO 83775      |183746|42711 
82161 |F|DK Mountaineer's Wannaway Jezebel      |MCO g 22    |05-08-2002|FD LO 117349     |42082 |42781 
82339 |F|DK Mummie's Chaina                     |MCO ns 09 22|25-10-1999|FD LO 102288     |61348 |61306 
83647 |F|DK Napaloma's Pixeline                 |MCO d 22    |06-03-2002|FD LO 114179     |83640 |38774 
85608 |F|DK Noer's Maja Lisa                    |BRI ns 22 64|18-04-1999|FD LO 99865      |85706 |16100 
85702 |F|DK Noer's Sille                        |BRI ns 22 64|29-03-1995|FD RX 10360      |153746|85647 
85737 |F|DK Noer's What A Baby                  |BRI g 22    |01-09-1998|FD LO 97036      |89011 |85700 
86088 |F|DK Noreg's Temptation                  |MCO n 09 23 |13-01-1995|FD LO 79071      |73556 |42058 
91047 |F|DK Player's Gypsy Queen                |BAL f       |23-02-2002|FD LO 114034     |162014|123783
92274 |F|DK Quatile's Amanda                    |PER g 33    |28-03-1992|FD LO 66750      |148931|92456 
92523 |F|DK Quatile's Victoria                  |PER f 33    |17-03-1998|FD LO 95915      |92279 |12079 
