412   |F|(N)Flatland's Clara, DM                |NFO n 09 23 |01-04-1990|FD RX 6716  |187066|730	|70
3960  |F|Alomi's We-Got-A-Love- Thang, DM       |PER e 33    |20-03-1992|FD LO 66954 |155469|162231	|45
9526  |F|Bardolino's Lutzi                      |PER w 62    |03-05-1987|FD LO 47220 |141242|9477	|50
11280 |F|Bergansius Nehalennia, DM              |NFO w       |24-06-1994|FD LO 79331 |128869|130452	|45
42711 |F|DK Cozy Farm Utopia                    |MCO fs 22   |22-12-1992|FD LO 70475 |154260|21375	|59
44153 |F|DK Dansbjergs Franni                   |NFO a 09    |14-04-1996|FD LO 85410 |43701 |12352	|46
49570 |F|DK Europa's Fynske Nattergal           |NFO a 09 22 |12-05-1999|FD LO 99185 |155370|71196	|46
51767 |F|DK Fionia's Blå Perle                  |BRI a       |09-01-1995|FD LO 79157 |139642|29019	|42
61930 |F|DK Jente's Kamelia                     |SBI a       |19-07-1990|FD LO 61021 |6984  |134500	|51
62476 |F|DK Joy of Living's Exotic Indian Summer|EXO f 03    |05-09-1992|FD LO 69292 |52823 |140173	|41
78992 |F|DK Milinocket's Eau Claire (P)         |MCO f 23    |08-07-1993|FD LO 72661 |42640 |42625	|45
92274 |F|DK Quatile's Amanda                    |PER g 33    |28-03-1992|FD LO 66750 |148931|92456	|47
94201 |F|DK Rockland's Rapsody                  |MCO fs      |06-06-1996|FD LO 86677 |96417 |94090	|49
95166 |F|DK Ræbild's Althea                     |SBI f       |28-06-1994|FD LO 76902 |55464 |120992	|46
107348|F|DK Thunderball's Darlene               |MCO n 22    |06-03-1993|FD LO 71000 |145286|107428	|42
124756|F|Frakark Katanæs Felis Jubatus, DM      |NFO n 09    |14-05-1992|FD LO 67254 |407   |412	|56
125375|F|Frøken Himmelblå Felis Jubatus         |NFO a 09    |04-03-2000|FD LO 103618|6189  |56253	|51
130339|F|Hedda Gabler Felis Jubatus, DM         |NFO n 09 23 |22-06-1990|FD RX 6709  |21025 |406	|48
136712|F|Karen Augusta Felis Jubatus, DM        |NFO f 09    |25-02-1994|FD LO 75326 |128869|173615	|51
138310|F|Killinia's Lovely Jaqline              |PER a 03    |15-03-1992|FD LO 66434 |149100|194130	|45
138390|F|Killinia's White Barina                |PER w 62    |11-08-1988|FD RX 5505  |149100|9526	|43
152086|F|Misty Brown's Autumn-Rose              |PER d       |12-09-1997|FD LO 91585 |153892|3971	|43
152162|F|Misty Brown's Black Pearl              |PER n       |04-04-1998|FD LO 94100 |136657|152636	|46
152636|F|Misty Brown's Madame Dunk              |PER a 33    |01-03-1993|FD LO 70573 |152240|153037	|42
152777|F|Misty Brown's Nicely-Nicely            |PER f 33    |07-08-1993|FD LO 72476 |78733 |3960	|49
156900|F|Nora Helmer Felis Jubatus, DM          |NFO n 09 23 |22-06-1990|FD RX 6710  |21025 |406	|51
169026|F|S*Fagerskogens Geisha                  |NFO ns 09 23|16-07-1995|FD LO 83623 |172793|169027	|58
177522|F|Signe Felis Jubatus                    |NFO a       |03-07-2000|FD LO 105240|407   |56253	|61
181398|F|Sukha af Ly DK                         |MCO gs 22   |02-04-1999|FD LO 99361 |110767|93179	|41
185998|F|Tisbe Para Mi                          |MCO ns 22   |09-12-1995|FD LO 83595 |145453|145591	|44
191382|F|Willowplace Topaz                      |MCO n 23    |13-07-1992|FD LO 72445 |130991|191197	|41
