407   |M|(N)Flatland's Bjørnstierne, DM    |NFO n 22    |27-03-1989|FD RX 6030  |159617|730
411   |M|(N)Flatland's Celius, DM          |NFO n       |01-04-1990|FD RX 6715  |187066|730
414   |M|(N)Flatland's Daniel              |NFO n 23    |13-12-1990|FD RX 7590  |163424|730
8027  |M|Awak Sinklair                     |SBI a 21    |01-05-1998|FD LO 94970 |135740|133121
8446  |M|Backkara's Hamlet                 |SBI n       |10-07-2008|FD LO 174715|8388  |173228
11027 |M|Belushies Utha                    |MCO es 22   |28-06-2001|FD LO 112305|140711|191377
12808 |M|Black Shot of Stenius             |PER n       |18-01-1999|FD LO 98302 |17893 |185000
17866 |M|Cattepoel's Thorkild Bjørnvig     |BRI a       |07-09-1988|FD LO 54515 |22510 |17859
18981 |M|Charmos af Taperije DK            |PER a       |28-07-1988|FD LO 52459 |183072|147385
19860 |M|Chocolate Futuro                  |PER b 23    |02-06-1986|FD LO 59432 |13979 |121577
23107 |M|Dan-Thai's Ieyasu                 |SIA b       |01-07-1991|FD LO 64050 |18668 |180407
29035 |M|DK Assur's Zimba                  |BRI a       |10-01-1996|FD LO 84169 |33873 |139649
42082 |M|DK Coonshine's Skagway            |MCO n 23    |12-11-1998|FD LO 98231 |183746|42703
43292 |M|DK Danish Design's Erik Segersäll |NFO n 09 23 |07-04-2000|FD LO 104092|173473|128922
43770 |M|DK Dansbjergs Balder              |NFO d 09 23 |18-07-1991|FD LO 63889 |159626|173481
49502 |M|DK Europa's Danske Gorm, DM       |NFO n 23    |12-07-1998|FD LO 95999 |128867|49686
62063 |M|DK Jente's Sonny Boy Auranu       |SBI n       |09-03-2009|FD LO 175207|99509 |61797
63442 |M|DK Kamikaze's Beloki Boy          |MCO n       |04-03-2002|FD LO 114099|28892 |63780
72024 |M|DK Liden Kirsten's Pavarotti, DM  |SBI n       |27-09-1991|FD LO 65577 |126953|5588
78733 |M|DK Mignon's Mr. Swing King        |PER n       |31-01-1990|FD LO 58221 |166811|119201
92026 |M|DK Purple Rain's Blinky Bill      |PER d       |05-09-1995|FD LO 82738 |84701 |43532
92326 |M|DK Quatile's Drot                 |PER a 33    |08-06-1987|FD LO 48189 |92283 |131952
96800 |M|DK Sarafina Sir Denver            |MCO e 09 22 |05-01-1998|FD LO 93188 |96795 |28212
124477|M|Flødekaramel Felis Jubatus, DM    |NFO e 09    |02-01-1998|FD LO 93411 |128867|136712
129028|M|Hagrid Dell'Aurora del Nord*I     |NFO ds 09 24|08-05-2004|FD LO 130641|121349|9316
130475|M|Helios von Achor*CH, DSM          |SBI c       |15-02-2000|FD LO 103292|122358|193445
144282|M|Loui Braun Brimiso                |SIA n       |13-05-1989|FD LO 54837 |139719|136328
144344|M|Love Explosion's Mister Blue Kadir|NFO as 09 22|20-02-2000|FD LO 109962|178016|144345
149100|M|Master-Frank von Goldregen        |PER n 02 62 |20-08-1983|FD LO 48779 |183149|183115
152302|M|Misty Brown's Cheyenne            |PER e 33    |29-08-1998|FD LO 96560 |155394|152086
156617|M|Nissen's Vimmer                   |SIA a       |15-04-1998|FD LO 94786 |144069|156551
157411|M|Odin 04-37                        |BRI a       |13-05-2004|FD LO 128105|188381|88077
162291|M|Positively Pythagoras             |BRI a       |19-08-1998|FD LO 97845 |150849|23453
167978|M|S*Backkara's Lambrusco            |SBI b       |08-09-1999|FD LO 125316|173408|172194
178027|M|Silver Spirit Felis Jubatus       |NFO ns 09 23|18-07-2003|FD LO 122871|155198|170035
185971|M|Tiptap-Tomtom's Asterion          |SIA n       |03-05-1995|FD LO 82522 |164063|7488
192733|M|Xiro Lovely Panther, CZ, DVM      |BRI a       |17-02-2007|FD LO 152853|148857|155989
