288   |M|(N)Coco Islands' Leo                  |NFO n 09 22 |30-11-1999|FD RX 13975        
407   |M|(N)Flatland's Bjørnstierne, DM        |NFO n 22    |27-03-1989|FD RX 6030         
411   |M|(N)Flatland's Celius, DM              |NFO n       |01-04-1990|FD RX 6715         
414   |M|(N)Flatland's Daniel                  |NFO n 23    |13-12-1990|FD RX 7590         
439   |M|(N)Fodnaheia's Nikko                  |NFO n 09 22 |09-06-2003|FD LO 122895       
520   |M|(N)Hesno-Briom's Cutty Sark           |SIA c 21    |28-09-1990|FD LO 73732        
679   |M|(N)Korsvik's Hit And Run              |PER d       |18-03-2003|FD LO 121542       
709   |M|(N)Laksjøen's Silver Casanova         |BRI ns 22 64|18-11-2001|FD LO 123080       
910   |M|(N)Nilsstra Rasken                    |NFO n 25    |02-06-1991|FD LO 65611        
1247  |M|(N)Svartbekken's Vokter Viktor        |NFO ns 22   |25-05-1994|FD RX 9898         
1405  |M|(NL)Charindhe's Touching Tifou        |PER ns 11   |11-03-1998|FD LO 95367        
1568  |M|A*Diavolo's Gino Ginelli              |BRI ns 22 64|02-06-2001|FD LO 112410       
2920  |M|Ajmal Didgeridoo                      |BUR c       |31-01-2002|FD LO 116876       
3167  |M|Albert af Jurian DK                   |PER n 02 62 |19-12-2000|FD LO 107366       
3632  |M|Alko van de Wissewasjes, DM           |SBI b       |02-05-1994|FD LO 78700        
4660  |M|Amerrykoon Pepper-Of-Samicoon         |MCO d 09 22 |07-03-2003|FD LO 123233       
4981  |M|Andante af Timanfaya DK               |PER c       |19-07-1986|FD LO 45396        
5474  |M|Anino's Benvenutti                    |PER a 33    |01-12-1984|FD LO 39167        
5817  |M|Ante v. Tierberg                      |NFO as 09   |05-10-1994|FD LO 78968        
6090  |M|Apollon By Fate DK                    |PER a 22    |03-06-2004|FD LO 128197       
6748  |M|Aron de Pineda                        |PER as 22 64|01-08-1987|FD RX 5219         
7285  |M|Asterix af Fredenslund                |ABY o       |26-11-1997|FD LO 92642        
8027  |M|Awak Sinklair                         |SBI a 21    |01-05-1998|FD LO 94970        
8051  |M|Ayanth Diacanthus                     |SIA a       |18-06-2000|FD LO 107275       
8404  |M|Backkara's Chester                    |SBI a       |30-01-2004|FD LO 126330       
8423  |M|Backkara's Fahrenheit                 |SBI c       |15-03-2005|FD LO 141777       
8425  |M|Backkara's Fandango                   |SBI b       |09-05-2004|FD LO 129046       
8446  |M|Backkara's Hamlet                     |SBI n       |10-07-2008|FD LO 174715       
8516  |M|Backkara's Stardust                   |SBI a       |16-04-2004|FD LO 127653       
8633  |M|Bagoas Clickety Click                 |BRI e       |27-06-1990|FD LO 60477        
9139  |M|Bambino Blue Lynx                     |BUR a       |06-09-1989|FD LO 57987        
9159  |M|Bambino Lilac Teazer                  |BUR c       |23-12-1990|FD LO 64125        
9437  |M|Barbarina's Demetrius                 |MCO w 62    |10-10-1987|FD LO 50066        
10727 |M|Bellamis' Finlandia                   |OSH b       |07-07-2001|FD LO 111191       
11027 |M|Belushies Utha                        |MCO es 22   |28-06-2001|FD LO 112305       
11213 |M|Bentley von Gott DK                   |SBI c       |21-07-2001|FD LO 110831       
12687 |M|Black Barron of Danwill Blue DK       |MCO n       |10-07-1986|FD LO 45252        
12808 |M|Black Shot of Stenius                 |PER n       |18-01-1999|FD LO 98302        
12942 |M|Blazed Snowball of Canpaza            |MCO w       |19-02-2005|FD LO 135668       
13189 |M|Blue Blazer of Wheatcrest             |RAG a       |03-02-1995|FD RX 11853        
15069 |M|Breath-Taking's Seal Umberto          |PER n 33    |02-08-1996|FD LO 87369        
15691 |M|Bruno v. Uhlenspeegel                 |BRI a       |24-07-1999|FD LO 101851       
15782 |M|Bubber af Dragsholm                   |PER d       |24-08-1990|FD LO 60519        
16247 |M|Cacao Yankee Captivator               |PER n 33    |22-12-1991|FD LO 93177        
16902 |M|Captain Madigus af Tamara, DM         |PER a 33    |28-09-1980|FD LO 27616        
17866 |M|Cattepoel's Thorkild Bjørnvig         |BRI a       |07-09-1988|FD LO 54515        
18981 |M|Charmos af Taperije DK                |PER a       |28-07-1988|FD LO 52459        
19220 |M|Check In Hanylou                      |PER e 03    |25-02-2004|FD LO 129616       
19241 |M|Cheetahsden Futurama                  |BEN n 24    |20-05-2001|FD LO 120052       
19780 |M|Chiton Romeo                          |SIA n       |05-03-1996|FD RX 11386        
19849 |M|Chocolate Cappucino af Reedtz         |PER b       |25-04-1990|FD RX 6575         
19860 |M|Chocolate Futuro                      |PER b 23    |02-06-1986|FD LO 59432        
20391 |M|Ciro de Vicio DK                      |BRI a       |01-07-1993|FD RX 9002         
21282 |M|CoonAffair's Uranus                   |MCO n 09    |13-10-2007|FD LO 170002       
21859 |M|Cougar's Midnite Sun                  |PER n       |17-07-1987|FD LO 50133        
23107 |M|Dan-Thai's Ieyasu                     |SIA b       |01-07-1991|FD LO 64050        
23437 |M|David von Berlioz                     |BRI a       |28-01-2006|FD LO 139236       
23567 |M|De Gazeau Baby mann                   |PER ds      |16-07-1988|FD LO 51598        
24445 |M|Diadora's Great Gatsby                |BRI a       |17-07-2002|FD LO 119078       
24759 |M|Dio von Gott DK                       |SBI a       |27-05-1995|FD LO 80751        
28032 |M|DK Apiatif's Jackpot                  |BRI c       |13-11-2003|FD LO 124464       
28075 |M|DK Apiatif's Lilac Lucifer            |BRI c       |04-11-2004|FD LO 130897       
28903 |M|DK Aslan's Balder                     |SIA b       |26-04-1996|FD LO 85473        
29035 |M|DK Assur's Zimba                      |BRI a       |10-01-1996|FD LO 84169        
29621 |M|DK Babalou's Walking On Sunshine      |PER n 33    |24-06-2000|FD LO 105258       
29676 |M|DK Babette's Lille Leo                |NFO d 23    |02-05-2004|FD LO 127230       
30204 |M|DK Balihai's pennies from Heaven      |PER a 03    |11-07-1991|FD LO 63874        
30347 |M|DK Balsatzar's Archontos              |SIA a       |15-04-1990|FD LO 58970        
31140 |M|DK Beachhill's Cubix                  |BRI d       |16-02-2006|FD LO 139034       
33415 |M|DK Bjørne Banden's Anton              |BRI a 24    |26-07-2000|FD RX 14352        
34691 |M|DK Bosserne's Rusty                   |MCO d 09 22 |21-04-1996|FD LO 85966        
37045 |M|DK Castle Rock Voyager                |MCO n 22    |10-11-2002|FD LO 118893       
38091 |M|DK Chagall's Dundee                   |BRI c       |13-03-1997|FD LO 89089        
38498 |M|DK Chai-Sha-Ni's Garfield             |PER ns 11   |28-07-1995|FD LO 82410        
38736 |M|DK Champagnes Arif                    |MCO ns 22   |25-12-2000|FD LO 107485       
39280 |M|DK Chat Woods Calvin Klein            |NFO a 09 23 |31-07-1999|FD LO 101190       
39741 |M|DK Chicabee Jelly Bean                |SBI n       |04-04-2009|FD LO 175385       
39834 |M|DK Chimera's Haze of Love             |MCO a 22    |09-03-2004|TICA SBT 030904 062
42050 |M|DK Coonotopia's Toronto               |MCO n 23    |29-04-2004|FD LO 126674       
42078 |M|DK Coonshine's Galloway               |MCO n 22    |27-11-1997|FD LO 92871        
42082 |M|DK Coonshine's Skagway                |MCO n 23    |12-11-1998|FD LO 98231        
42474 |M|DK CountryCat's Tombi of Jungle Man   |MCO d 09 22 |01-01-2003|FD LO 119420       
42623 |M|DK Cozy Farm Kreamer                  |MCO a 23    |09-08-1991|FD LO 64391        
42630 |M|DK Cozy Farm Lucifer (P)              |MCO n 22    |11-11-1993|FD LO 74719        
42644 |M|DK Cozy Farm Mefisto P                |MCO n       |14-12-1991|FD LO 66920        
42678 |M|DK Cozy Farm Ride The Wild Wind       |MCO e 09 22 |28-10-1992|FD LO 69803        
42690 |M|DK Cozy Farm Slow Dancer (P)          |MCO n 22    |30-10-1992|FD LO 69981        
43292 |M|DK Danish Design's Erik Segersäll     |NFO n 09 23 |07-04-2000|FD LO 104092       
43605 |M|DK Dan-Queen Rubber Duck              |PER d 02 62 |06-08-1993|FD LO 73153        
43614 |M|DK Dan-Queen Show Master              |PER n       |05-05-1994|FD LO 76275        
43681 |M|DK Dansbjergs Alec                    |NFO w 62    |18-03-2000|FD LO 103770       
43700 |M|DK Dansbjergs Alladin                 |NFO ns 25   |21-07-1999|FD LO 101022       
43701 |M|DK Dansbjergs Allan                   |NFO n 09    |05-05-1993|FD LO 71478        
43770 |M|DK Dansbjergs Balder                  |NFO d 09 23 |18-07-1991|FD LO 63889        
44320 |M|DK Dansbjergs Hugo                    |NFO n 09    |12-08-1993|FD RX 9058         
44835 |M|DK Dansbjergs Osmond                  |NFO a 09 25 |02-01-1995|FD LO 79120        
44909 |M|DK Dansbjergs Pluto                   |NFO e 09 22 |18-02-2001|FD LO 108388       
44944 |M|DK Dansbjergs Rasmus                  |NFO n 09 23 |13-03-1991|FD LO 62649        
45754 |M|DK Desmira's Caspian                  |SBI n       |15-04-2008|FD LO 172415       
46382 |M|DK Donante's Fredenslund Charmeur     |ABY n       |09-11-1989|FD LO 57862        
48062 |M|DK Egalia's Blue Dusty Dande Malevitch|RUS         |23-11-1996|FD LO 88399        
48734 |M|DK Elmelund's Ironman                 |NFO d       |14-07-2008|FD LO 173122       
49502 |M|DK Europa's Danske Gorm, DM           |NFO n 23    |12-07-1998|FD LO 95999        
49509 |M|DK Europa's Dejlige Bastian           |NFO n 23    |18-04-1999|FD LO 99170        
49510 |M|DK Europa's Den Gamle                 |NFO n 09    |12-07-1998|FD LO 96000        
49571 |M|DK Europa's Første Fax                |NFO d 09 22 |16-07-1994|FD LO 76837        
49587 |M|DK Europa's Harald Hankat             |NFO d 22    |17-02-1995|FD LO 79544        
49689 |M|DK Europa's Jubii Email, JW DSM       |NFO n 09 22 |25-07-2004|FD LO 129098       
49811 |M|DK Europa's Næsvise Nordmand          |NFO n 23    |07-09-1996|FD LO 87290        
49880 |M|DK Europa's Undulat Dræber            |NFO ns 09 23|04-03-2004|FD LO 126018       
