ID|GENDER|NAME|EMS|DOB|REG|SIRE|DAM
1|M|"B" Mahe mein Ein und Alles|MCO a|06-02-2006|FD LO 143267|186408|194034
2|F|"C" It's Me Sajonara of Schjetne DK|PER d|13-05-1991|FD LO 63187|118996|194074
3|M|"C" The Creme Bandit of Schjetne DK|PER e|13-05-1991|FD LO 63185|118996|194074
4|M|"C" The Red Manu of Schjetne DK|PER d|13-05-1991|FD LO 63186|118996|194074
5|M|"D" Casanova Joe of Schjetne DK|PER d|06-12-1991|FD LO 65866|118996|1326
6|F|"D" Charming Belinda of Schjetne DK|PER d|06-12-1991|FD LO 65865|118996|1326
7|M|"D" Ginger Man of Schjetne DK|PER d|06-12-1991|FD LO 65868|118996|1326
8|F|"D" X-Collection of Schjetne DK|PER d|06-12-1991|FD LO 65864|118996|1326
9|M|"D" X-stremely Red Jr of Schjetne DK|PER d|06-12-1991|FD LO 65867|118996|1326
10|F|"E" Viva Las Vegas of Schjetne DK|PER f|22-05-1992|FD LO 67584|128254|194074
11|F|"E" Viva ZZ Top of Schjetne DK|PER f|22-05-1992|FD LO 67583|128254|1326
12|M|"Mactho Man" van Anubis of Farao's|SPH n|...|BKV 050002908|17301|13428
13|M|"Me Tarzan" Unplugged DK|MCO d 22|13-09-1999|FD LO 102070|9075|61402
14|F|"You Jane" Unplugged DK|MCO n|13-09-1999|FD LO 102071|9075|61402
15|F|(A)LangThai's Zeudi Araya|OSH b|...|ANFI LO 79666|1587|132845
16|F|(A)Winerau's Xenia of Perfect Cat*UA|MCO f 22|...|UA.FAU.01.94506.11|163983|136028
17|F|(Blue) Tara van Sheba's Adiba|ABY n|...|NHS AK 50.875||
18|F|(IDP)Betty Back's Sahara|EXO fs 22 62|...|(N)NRR LO 144241|17203|134496
19|F|(IND) Peaches Blue Belle|NFO ft s 09 22|...|(N)NRR RX 143345|192542|154976
20|M|(IND)Aliosha's Draumur Simsonsson|NFO ns 09|...|(N)NRR LO 126222||
21|F|(IND)Backkara's Cha-Cha|SBI h 21|07-11-2004|(N)NRR LO 147122|167954|173717
22|F|(IND)Backkara's Delicious Dream|SBI n|30-01-2004|(N)NRR LO 138273|167945|167918
23|M|(IND)Backkara's Picasso|SBI a|...|(N)NRR LO 134994||
24|F|(IND)Overlord Charmic|MCO n 09 22|...|(S)FBK MC 580|126185|191238
25|M|(IND)Overlord Lynx|MCO n 09 22|...|(S)SVERAK LO 180912|26|24
26|M|(IND)Ramsekattens Shovelhead|MCO n 22|06-09-2000|(S)KKN SL 953-00|145594|27
27|F|(IND)Rocky Robbin's Dirty Dancing|MCO f 23|...|(S)KKN SL 468-97||
28|M|(N) Du Monet Bentley|PER d 01 62|14-01-2006|SVERAK LO 238330|193699|29
29|F|(N) Du Monet Guess|PER d 03 24|...|NRR LO 134523|153298|31
30|M|(N) Frisco Lille Panda|PER n 01 21 62|20-05-2000|SVERAK LO 176868|154121|172850
31|F|(N) Misty Bar-B-Doll|PER g 03 22|23-05-1997|NRR LO 119207|13801|140514
32|F|(N) Summerfield's Isabella|MCO w 62|21-10-2007|FD LO 148689|1237|545
33|F|(N) Summerfield's Kayla|MCO n 23|21-10-2007|FD LO 148687|1237|545
34|M|(N) Summerfield's McDreamy|MCO n 22|11-03-2007|FD LO 146152|1237|545
35|M|(N) Summerfield's Orlando|MCO n 22|21-10-2007|FD LO 148686|1237|545
36|F|(N) Summerfield's Savannah|MCO w|11-03-2007|FD LO 146153|1237|545
37|F|(N) Summerfield's Stella|MCO w 62|21-10-2007|FD LO 148688|1237|545
38|F|(N) Summerfield's White Feather|MCO w 62|11-03-2007|FD LO 146151|1237|545
39|F|(N)Abbusino Blue Diana|BUR a|...|NRR LO 4982||
40|M|(N)Abbusino Boris Bruno|BUR n|...|NRR LO 5502|123951|39
41|M|(N)Absolute Balstyrige Belbert|BRI n 24|...|NRR LO 111930||
42|F|(N)Adelrose Aurelia Munch|NFO ns 23|20-12-2007|FD LO 170813|1143|169723
43|F|(N)Adriexi's Xandra|SBI g|...|NRR LO 132033|167947|167935
44|F|(N)Agapimo's Babelle Bluebell|SBI a|...|NRR LO 61692|186944|175189
45|F|(N)Agricats Karma|PER f 33|19-11-1992|NRR LO 107679|135044|135045
46|F|(N)Agricats Key To My Heart|PER f|19-11-1992|FD LO 70254|135044|135045
47|F|(N)Alinde's Nola|NFO f 09|12-11-1999|SVERAK RX 183355|1147|727
48|M|(N)Alladin av LinnMa|NFO ns 09 23|...|NRR LO 112615|186574|1154
49|F|(N)Almighty Alba D'Arakan|SBI n|...|NRR LO 121341|21617|168804
50|F|(N)Almighty Ascendant of Dorothé|SBI g|...|NRR LO 121344|21617|168804
51|F|(N)Almighty Certified For Harmony|SBI a|19-06-2000|FD LO 105163|133|49
52|M|(N)Almighty Scotch Corner|SBI n|...|(SE)SVERAK LO 180647||
53|M|(N)Almighty Wedge Antilles|EXO ns 22 62|...|(N)NRR LO 132716||
54|M|(N)Amazing Blue's Fabian|RUS|...|NRR LO 4942|180724|10563
55|M|(N)Amazing Blue's Gabor|RUS|...|NRR LO 5374|128782|10563
56|M|(N)Amita's Amigo|PER a 03|...|NRR RX 32107|150313|152031
57|M|(N)Amorada O Sole Mio|NFO n 09 23|...|NRR LO 60434|186537|194284
58|F|(N)Amorada Ønskedrøm|NFO d 09 23|...|NRR RX 53397|159615|194284
59|F|(N)Apelia's Dream Come True|SBI n|...|NRR LO 125970||
60|F|(N)Apelia's Everlasting Love|SBI c|...|NRR LO 127336||
61|M|(N)Apelia's Fabian|SBI c|...|NRR LO 127805|168212|24081
62|F|(N)Apelia's Felina|SBI c|19-04-2000|FD LO 106030|168212|24081
63|M|(N)Apelia's Francisco|SBI b|...|NRR LO 127803||
64|F|(N)Apelia's Hugs 'n' Kisses|SBI c|27-03-2001|NRR LO 130746|168212|60
65|F|(N)Apelia's Jewel of The Nile|SBI c|...|STJR 06-249|63|59
66|M|(N)Apelia's Noble Warrior|SBI b|...|NRR LO 138158|61|172959
67|M|(N)Apelia's Noble Warrior|SBI b|...|(N)NRR LO 138158|61|172959
68|F|(N)Apelia's Nordic Angel|SBI h 21|19-08-2003|CCCA GC GC04|61|172959
69|M|(N)Appendix Blix|PER n 03 22|...|FGK 0557-01|166846|13804
70|F|(N)Appendix Cheri|PER n 03 22|22-04-1997|FD LO 102053|166846|13804
71|M|(N)Arbi's Andantino|NFO n 09|...|NRR RX 52250|159617|157149
72|M|(N)Arbi's Figaro|NFO d 09|...|SVERAK RX 82281|71|1243
73|F|(N)Arbi's Geisha|NFO n 09|...|NRR RX 53856||
74|F|(N)Arctic Coon's Andorra Surprise|MCO a 23|28-11-1997|NRR LO 120896|169565|169557
75|F|(N)Arctic Coon's Aunt Mary, JW|MCO n 22|...|(N)NRR LO 135013|147055|98
76|M|(N)Arctic Coon's Bandidoz|MCO d 22|18-12-1998|NRR LO 124378|128636|169557
77|F|(N)Arctic Coon's Biscaya|MCO a 22|18-12-1998|(N)NRR LO 124379|128636|169557
78|M|(N)Arctic Coon's Casanova|MCO n 22|...|NRR LO 124545||
79|M|(N)Arctic Coon's Casanova|MCO n 22|...|NRR 124545||
80|M|(N)Arctic Coon's Chief Bart Simpson|MCO n 22|...|SVERAK LO 156486||
81|F|(N)Arctic Coon's Cornelia Cacao|MCO n 22|20-02-1999|NRR LO 124542|185366|139246
82|F|(N)Arctic Coon's Demi Moore|MCO a 22|...|(N)NRR LO 125104|185366|169557
83|F|(N)Arctic Coon's Evita|MCO n 22|09-05-1999|NRR RX 125109|185366|15580
