SOURCE	TARGET	LABEL
1	186408	DAM
2	118996	DAM
3	118996	DAM
4	118996	DAM
5	118996	DAM
6	118996	DAM
7	118996	DAM
8	118996	DAM
9	118996	DAM
10	128254	DAM
11	128254	DAM
12	17301	DAM
13	9075	DAM
14	9075	DAM
15	1587	DAM
16	163983	DAM
18	17203	DAM
19	192542	DAM
21	167954	DAM
22	167945	DAM
24	126185	DAM
25	26	DAM
26	145594	DAM
28	193699	DAM
29	153298	DAM
30	154121	DAM
31	13801	DAM
32	1237	DAM
33	1237	DAM
34	1237	DAM
35	1237	DAM
36	1237	DAM
37	1237	DAM
38	1237	DAM
40	123951	DAM
42	1143	DAM
43	167947	DAM
44	186944	DAM
45	135044	DAM
46	135044	DAM
47	1147	DAM
48	186574	DAM
49	21617	DAM
50	21617	DAM
51	133	DAM
54	180724	DAM
55	128782	DAM
56	150313	DAM
57	186537	DAM
58	159615	DAM
61	168212	DAM
62	168212	DAM
64	168212	DAM
65	63	DAM
66	61	DAM
67	61	DAM
68	61	DAM
69	166846	DAM
70	166846	DAM
71	159617	DAM
72	71	DAM
74	169565	DAM
75	147055	DAM
76	128636	DAM
77	128636	DAM
81	185366	DAM
82	185366	DAM
83	185366	DAM
84	128435	DAM
85	128435	DAM
86	128435	DAM
87	76	DAM
88	146450	DAM
89	164231	DAM
90	149104	DAM
91	133012	DAM
92	149104	DAM
94	76	DAM
95	76	DAM
96	164233	DAM
98	86	DAM
99	86	DAM
100	86	DAM
101	86	DAM
102	147055	DAM
103	86	DAM
104	101	DAM
105	86	DAM
106	147054	DAM
107	147054	DAM
108	97	DAM
109	12670	DAM
110	12670	DAM
111	147054	DAM
112	1774	DAM
113	159582	DAM
114	177004	DAM
115	177004	DAM
116	118702	DAM
117	1075	DAM
118	1075	DAM
119	20444	DAM
120	118572	DAM
121	118572	DAM
122	170180	DAM
124	1774	DAM
127	172652	DAM
128	172654	DAM
129	1398	DAM
130	1398	DAM
131	159621	DAM
133	142510	DAM
134	154355	DAM
135	124085	DAM
136	194147	DAM
137	131892	DAM
139	144	DAM
140	131892	DAM
141	124131	DAM
142	1370	DAM
143	1366	DAM
144	241	DAM
145	1366	DAM
147	14158	DAM
148	1305	DAM
149	56	DAM
150	477	DAM
151	172319	DAM
152	147077	DAM
153	142219	DAM
154	142219	DAM
155	4438	DAM
156	328	DAM
157	938	DAM
159	155195	DAM
161	134316	DAM
162	121579	DAM
163	170158	DAM
164	161	DAM
165	163	DAM
166	155224	DAM
167	166	DAM
168	174535	DAM
169	168	DAM
170	23040	DAM
171	170	DAM
172	159617	DAM
173	159617	DAM
174	134795	DAM
175	32463	DAM
176	32463	DAM
177	32463	DAM
178	32463	DAM
179	134795	DAM
180	32463	DAM
181	32463	DAM
182	32463	DAM
183	32463	DAM
184	159762	DAM
185	149618	DAM
186	159762	DAM
187	149618	DAM
188	125789	DAM
189	149618	DAM
190	173178	DAM
191	173178	DAM
193	159762	DAM
194	1104	DAM
195	208	DAM
196	871	DAM
197	1101	DAM
198	202	DAM
200	871	DAM
201	1104	DAM
202	121299	DAM
204	172113	DAM
205	23239	DAM
206	210	DAM
207	172113	DAM
208	871	DAM
209	171951	DAM
210	172113	DAM
211	172283	DAM
212	171547	DAM
213	170780	DAM
214	151521	DAM
215	782	DAM
216	170635	DAM
219	671	DAM
220	170172	DAM
221	140206	DAM
