SOURCE	TARGET
1	186408
2	118996
3	118996
4	118996
5	118996
6	118996
7	118996
8	118996
9	118996
10	128254
11	128254
12	17301
13	9075
14	9075
15	1587
16	163983
18	17203
19	192542
21	167954
22	167945
24	126185
25	26
26	145594
28	193699
29	153298
30	154121
31	13801
32	1237
33	1237
34	1237
35	1237
36	1237
37	1237
38	1237
40	123951
42	1143
43	167947
44	186944
45	135044
46	135044
47	1147
48	186574
49	21617
50	21617
51	133
54	180724
55	128782
56	150313
57	186537
58	159615
61	168212
62	168212
64	168212
65	63
66	61
67	61
68	61
69	166846
70	166846
71	159617
72	71
74	169565
75	147055
76	128636
77	128636
81	185366
82	185366
83	185366
84	128435
85	128435
86	128435
87	76
88	146450
89	164231
90	149104
91	133012
92	149104
94	76
95	76
96	164233
98	86
99	86
100	86
101	86
102	147055
103	86
104	101
105	86
106	147054
107	147054
108	97
109	12670
110	12670
111	147054
112	1774
113	159582
114	177004
115	177004
116	118702
117	1075
118	1075
119	20444
120	118572
121	118572
122	170180
124	1774
127	172652
128	172654
129	1398
130	1398
131	159621
133	142510
134	154355
135	124085
136	194147
137	131892
139	144
140	131892
141	124131
142	1370
143	1366
144	241
145	1366
147	14158
148	1305
149	56
150	477
151	172319
152	147077
153	142219
154	142219
155	4438
156	328
157	938
159	155195
161	134316
162	121579
163	170158
164	161
165	163
166	155224
167	166
168	174535
169	168
170	23040
171	170
172	159617
173	159617
174	134795
175	32463
176	32463
177	32463
178	32463
179	134795
180	32463
181	32463
182	32463
183	32463
184	159762
185	149618
186	159762
187	149618
188	125789
189	149618
190	173178
191	173178
193	159762
194	1104
195	208
196	871
197	1101
198	202
200	871
201	1104
202	121299
204	172113
205	23239
206	210
207	172113
208	871
209	171951
210	172113
211	172283
212	171547
213	170780
214	151521
215	782
216	170635
219	671
220	170172
221	140206
223	174635
224	171616
225	171315
226	84341
227	229
228	84341
229	166702
230	84341
231	608
232	189080
233	189080
234	148591
235	96
236	96
237	235
238	235
239	96
241	183832
242	765
243	765
244	194283
245	1020
246	3453
247	194283
248	246
249	179553
251	1020
253	122214
254	1020
255	173511
257	262
259	260
261	257
262	170060
264	167949
265	167740
267	149020
268	265
270	167261
271	966
273	1267
274	43667
275	114944
277	173924
278	166876
279	23197
280	123724
281	143059
282	1020
283	187066
284	167454
285	168823
286	168823
288	129
289	834
291	487
292	130025
293	130025
294	127237
295	292
296	127237
297	127237
298	616
299	173377
300	173055
301	169570
302	255
303	170293
304	347
305	395
306	525
307	272
308	525
309	185903
310	166828
311	307
312	175074
313	315
314	166825
315	175074
316	185903
317	263
318	146745
319	318
320	142478
321	21734
322	171484
324	328
325	119582
326	325
327	22264
328	22264
329	132161
330	132161
331	142332
332	136598
333	136598
334	162009
335	887
336	153298
337	168869
339	887
340	172840
341	171595
342	171595
344	172842
345	170493
346	170493
347	120209
348	812
349	190269
350	1221
351	1368
352	167528
354	171996
355	140258
356	1249
357	1249
358	159628
359	159615
360	362
361	362
362	182165
363	182165
364	170172
365	150784
366	150784
367	12640
368	372
370	53
371	451
372	369
373	370
374	368
376	171905
377	170310
378	155224
379	173126
380	173102
381	383
382	379
385	965
386	1099
387	929
388	942
389	1011
391	19996
392	19996
393	3453
395	270
396	289
397	191
398	289
402	401
403	124160
405	20002
406	20002
407	159617
408	159617
409	159617
410	159617
411	187066
412	187066
413	187066
414	163424
415	163424
416	410
417	410
418	411
419	410
420	410
421	410
422	410
423	133258
425	173163
426	173163
427	173163
429	22474
430	22474
432	103352
433	103352
434	441
435	441
436	441
437	103352
438	173163
439	466
440	466
441	167571
442	399
443	430
444	430
445	133258
446	133258
447	434
448	46269
449	16689
450	5721
452	154121
455	168365
456	5721
457	147947
458	763
459	1042
460	146758
463	174635
464	164658
465	167571
466	167571
467	167571
469	468
470	468
471	184871
472	150221
473	168843
474	6133
475	6133
476	188052
477	479
478	117915
479	8720
480	20398
481	17541
482	189
485	1340
486	1092
488	172663
489	103397
490	103397
491	1095
493	124876
495	159639
497	177000
498	506
500	164073
501	177004
502	177004
503	158498
504	503
505	175079
506	503
507	503
508	498
509	139459
510	185739
511	185739
512	127155
513	167526
514	173254
515	127156
516	515
517	167726
519	143051
520	23195
521	177000
522	13560
523	13561
524	13561
525	158623
526	181695
527	505
528	527
529	8743
530	154122
531	529
532	530
533	130998
534	130999
535	605
536	130994
537	1237
538	130994
539	130994
540	130994
541	130998
542	131006
544	157268
545	157268
546	131006
547	605
548	157268
549	608
550	157268
551	42630
552	1237
553	157268
554	605
555	605
556	130994
557	131006
558	130998
559	130994
560	130994
561	157268
562	608
563	131006
564	130998
565	130998
566	130994
567	130998
568	131006
569	130994
570	130994
571	157268
572	130994
573	157268
574	131006
575	42630
576	130994
577	605
578	42589
579	157268
580	157268
581	130994
582	130994
583	130998
584	607
585	605
586	130994
587	605
588	131006
589	607
590	608
591	157268
592	605
593	130994
594	605
595	130994
596	131006
597	131006
598	1237
599	1237
600	130994
601	157268
602	130994
603	130994
604	539
605	157268
606	607
607	597
608	42589
609	131006
610	131006
611	130998
612	130994
613	130998
615	172222
616	172223
618	161806
619	16222
620	619
623	622
624	159628
626	159615
627	4792
628	4792
629	175679
630	175679
631	173102
633	630
634	3112
635	1365
636	183161
638	990
639	169702
641	161156
643	171418
644	159633
645	187957
646	761
647	103352
648	168629
649	134417
650	140206
651	172278
652	1343
653	185590
654	127266
655	993
656	220
659	162720
660	162720
661	169072
662	924
663	170701
664	124000
