5114  |F|Aneela Princes von Gott DK           |SBI g   |12-02-2013|(DK)FD RX 212782|72210 |8462  
6179  |F|April Joy von Gott DK                |SBI g   |12-02-2013|(DK)FD RX 212783|72210 |8462  
7154  |M|Aslan 13-46                          |SBI c   |08-04-2013|(DK)FD LO 215720|87249 |51307 
7964  |M|Avalon in Purple von Gott DK         |SBI c   |12-02-2013|(DK)FD RX 212781|72210 |8462  
8335  |M|Babylon von Gott DK                  |SBI a   |04-05-2013|(DK)FD RX 213744|72210 |101113
9193  |F|Bambus von Gott DK                   |SBI c   |04-05-2013|(DK)FD RX 213746|72210 |101113
14335 |F|Bonsai von Gott DK                   |SBI a   |04-05-2013|(DK)FD RX 213745|72210 |101113
14355 |F|Boomerang Bella                      |SBI a   |08-05-2013|(DK)FD LO 214313|19916 |33176 
14356 |F|Boomerang Berta                      |SBI a   |08-05-2013|(DK)FD LO 214312|19916 |33176 
14357 |F|Boomerang Birma                      |SBI a   |08-05-2013|(DK)FD LO 214314|19916 |33176 
14360 |F|Boomerang Chanel                     |SBI n   |08-05-2013|(DK)FD LO 214311|19916 |33176 
17322 |M|Cashmir Tika von Gott DK             |SBI n   |30-09-2013|(DK)FD RX 215811|72210 |128096
17414 |F|Cassiopeia My von Gott DK            |SBI n   |30-09-2013|(DK)FD RX 215812|72210 |128096
18313 |M|Chablis Palin von Gott DK            |SBI n   |30-09-2013|(DK)FD RX 215810|72210 |128096
26313 |F|DK Allica's Becca                    |SBI n   |13-04-2013|(DK)FD LO 213767|39741 |27377 
26314 |F|DK Allica's Bellis                   |SBI n   |13-04-2013|(DK)FD LO 213768|39741 |27377 
26315 |M|DK Allica's Bentley                  |SBI n   |13-04-2013|(DK)FD LO 213765|39741 |27377 
26316 |F|DK Allica's Blossom                  |SBI n   |13-04-2013|(DK)FD LO 213766|39741 |27377 
26684 |M|DK Aluksus' Caktus                   |SBI a 21|29-08-2013|(DK)FD LO 215772|61840 |26681 
26685 |F|DK Aluksus' Citrus                   |SBI a 21|29-08-2013|(DK)FD LO 215770|61840 |26681 
26686 |F|DK Aluksus' Cleopatra                |SBI a 21|29-08-2013|(DK)FD LO 215773|61840 |26681 
26687 |M|DK Aluksus' Cæsar                    |SBI a 21|29-08-2013|(DK)FD LO 215771|61840 |26681 
27290 |F|DK Amos' Eleana                      |SBI a 21|08-09-2013|(DK)FD LO 215789|115847|72422 
27291 |M|DK Amos' Elliot                      |SBI b   |08-09-2013|(DK)FD LO 215790|115847|72422 
27292 |F|DK Amos' Evita                       |SBI b 21|08-09-2013|(DK)FD LO 215791|115847|72422 
27340 |F|DK Amozar's Octavia                  |SBI a   |21-03-2013|(DK)FD LO 213671|8465  |112823
27341 |F|DK Amozar's Ofelia                   |SBI a   |21-03-2013|(DK)FD LO 213669|8465  |112823
27342 |F|DK Amozar's Oxana                    |SBI a   |21-03-2013|(DK)FD LO 213670|8465  |112823
27343 |F|DK Amozar's Papaya                   |SBI a   |25-04-2013|(DK)FD LO 214849|8391  |78093 
27344 |M|DK Amozar's Pegasus                  |SBI n   |25-04-2013|(DK)FD LO 214846|8391  |78093 
27345 |M|DK Amozar's Pigeon                   |SBI a   |25-04-2013|(DK)FD LO 214847|8391  |78093 
27346 |F|DK Amozar's Piper                    |SBI n   |25-04-2013|(DK)FD LO 214848|8391  |78093 
27347 |M|DK Amozar's Qato                     |SBI a   |09-06-2013|(DK)FD LO 214838|8465  |27325 
27348 |F|DK Amozar's Qayla                    |SBI c   |09-06-2013|(DK)FD LO 214841|8465  |27325 
27349 |F|DK Amozar's Quinnie                  |SBI a   |09-06-2013|(DK)FD LO 214839|8465  |27325 
27350 |F|DK Amozar's Quista                   |SBI a   |09-06-2013|(DK)FD LO 214840|8465  |27325 
27351 |F|DK Amozar's Rubia                    |SBI a   |14-09-2013|(DK)FD LO 215843|8465  |27325 
27352 |M|DK Amozar's Ruma                     |SBI a   |14-09-2013|(DK)FD LO 215841|8465  |27325 
27353 |F|DK Amozar's Rumina                   |SBI a   |14-09-2013|(DK)FD LO 215842|8465  |27325 
27354 |M|DK Amozar's Rusty                    |SBI a   |14-09-2013|(DK)FD LO 215840|8465  |27325 
27362 |M|DK Anakhita Caesar                   |SBI c   |22-04-2013|(DK)FD LO 213853|62063 |33570 
27363 |M|DK Anakhita Capella                  |SBI a   |22-04-2013|(DK)FD LO 213855|62063 |33570 
27364 |F|DK Anakhita Carola                   |SBI a   |22-04-2013|(DK)FD LO 213854|62063 |33570 
27365 |M|DK Anakhita Columbus                 |SBI c   |22-04-2013|(DK)FD LO 213856|62063 |33570 
27366 |M|DK Anakhita Dee-Jay                  |SBI a 21|26-07-2013|(DK)FD LO 215372|61840 |27358 
27367 |M|DK Anakhita Dun-Dee                  |SBI a 21|26-07-2013|(DK)FD LO 215371|61840 |27358 
27385 |M|DK Ancali's Didrik                   |SBI d   |24-04-2013|(DK)FD LO 214058|62063 |47867 
27386 |M|DK Ancali's Dino                     |SBI n   |24-04-2013|(DK)FD LO 214056|62063 |47867 
27387 |M|DK Ancali's Ditlev                   |SBI e   |24-04-2013|(DK)FD LO 214057|62063 |47867 
27388 |F|DK Ancali's Dusses                   |SBI h   |24-04-2013|(DK)FD LO 214059|62063 |47867 
29320 |F|DK Avalantas Olivia                  |SBI n 21|19-03-2013|(DK)FD LO 213696|87278 |29295 
29321 |F|DK Avalantas Olympia                 |SBI b 21|19-03-2013|(DK)FD LO 213697|87278 |29295 
29322 |F|DK Avalantas Ophelia                 |SBI b 21|19-03-2013|(DK)FD LO 213695|87278 |29295 
29323 |F|DK Avalantas Ottavia Bellissima      |SBI n 21|19-03-2013|(DK)FD LO 213694|87278 |29295 
30626 |F|DK Bandit's Liva                     |SBI a   |09-03-2013|(DK)FD LO 213340|105762|87256 
30627 |M|DK Bandit's Logan                    |SBI a   |09-03-2013|(DK)FD LO 213341|105762|87256 
30629 |F|DK Bandit's Lulu                     |SBI a   |09-03-2013|(DK)FD LO 213342|105762|87256 
30630 |F|DK Bandit's Luna                     |SBI n   |09-03-2013|(DK)FD LO 213339|105762|87256 
30631 |M|DK Bandit's Magic Moment             |SBI a 21|13-04-2013|(DK)FD LO 213800|87301 |112837
30632 |M|DK Bandit's Malte                    |SBI n 21|13-04-2013|(DK)FD LO 213801|87301 |112837
30633 |M|DK Bandit's Monty                    |SBI c 21|13-04-2013|(DK)FD LO 213802|87301 |112837
30634 |M|DK Bandit's Nero                     |SBI b 21|14-08-2013|(DK)FD LO 215613|87301 |112837
30635 |F|DK Bandit's Nynne                    |SBI n 21|14-08-2013|(DK)FD LO 215615|87301 |112837
30636 |F|DK Bandit's Perle                    |SBI n   |14-08-2013|(DK)FD LO 215614|87301 |112837
32935 |M|DK Bimserne Carlo                    |SBI n 21|03-03-2013|(DK)FD LO 213413|124435|94605 
32936 |F|DK Bimserne Cleo                     |SBI n 21|03-03-2013|(DK)FD LO 213414|124435|94605 
33158 |F|DK Birma4you's Bell                  |SBI a   |04-01-2013|(DK)FD LO 212804|39628 |24884 
33159 |F|DK Birma4you's Bella                 |SBI c 21|11-06-2013|(DK)FD LO 214732|33165 |87164 
33161 |M|DK Birma4you's Columbus              |SBI a 21|12-07-2013|(DK)FD LO 214980|33165 |24884 
33162 |M|DK Birma4you's Cæsar                 |SBI a 21|12-07-2013|(DK)FD LO 214981|33165 |24884 
33163 |M|DK Birma4you's Hans Christian        |SBI a   |04-01-2013|(DK)FD LO 212802|39628 |24884 
33166 |F|DK Birma4you's Sookie                |SBI a   |04-01-2013|(DK)FD LO 212803|39628 |24884 
33168 |F|DK Birma4you's Zizi                  |SBI a 21|12-07-2013|(DK)FD LO 214979|33165 |24884 
33582 |M|DK Blansskovvej's Ilias              |SBI n   |25-02-2013|(DK)FD LO 213511|13151 |48181 
33583 |M|DK Blansskovvej's Indigo             |SBI a   |25-02-2013|(DK)FD LO 213512|13151 |48181 
33584 |M|DK Blansskovvej's Ingo               |SBI c   |25-02-2013|(DK)FD LO 213513|13151 |48181 
33585 |F|DK Blansskovvej's Iris               |SBI a   |25-02-2013|(DK)FD LO 213514|13151 |48181 
33586 |F|DK Blansskovvej's Jasmin             |SBI n   |14-09-2013|(DK)FD LO 215982|13151 |48181 
33587 |M|DK Blansskovvej's Jester             |SBI b   |14-09-2013|(DK)FD LO 215981|13151 |48181 
33588 |F|DK Blansskovvej's Jolly              |SBI a   |14-09-2013|(DK)FD LO 215983|13151 |48181 
33589 |M|DK Blansskovvej's Justin             |SBI b   |14-09-2013|(DK)FD LO 215980|13151 |48181 
37900 |M|DK Ceza's Baldrian                   |SBI n   |13-07-2013|(DK)FD RX 214992|72210 |37898 
37901 |M|DK Ceza's Bregne                     |SBI n   |13-07-2013|(DK)FD RX 214991|72210 |37898 
37902 |M|DK Ceza's Buksbom                    |SBI n   |13-07-2013|(DK)FD RX 214990|72210 |37898 
38895 |F|DK Chan Kaja's Queenie Rose Gidis    |SBI c 21|11-03-2013|(DK)FD LO 213412|115847|38864 
38896 |M|DK Chan Kaja's Quinton Fox Gidis     |SBI c   |11-03-2013|(DK)FD LO 213411|115847|38864 
38897 |M|DK Chan Kaja's Quinzy Gidis          |SBI c 21|11-03-2013|(DK)FD LO 213410|115847|38864 
38984 |F|DK Charce's Ariel                    |SBI n 21|26-03-2013|(DK)FD LO 213650|110751|33187 
38986 |M|DK Charce's Balou                    |SBI n 21|26-03-2013|(DK)FD LO 213652|110751|33187 
38988 |F|DK Charce's Lilo                     |SBI n   |26-03-2013|(DK)FD LO 213649|110751|33187 
38989 |F|DK Charce's Nala                     |SBI n 21|26-03-2013|(DK)FD LO 213651|110751|33187 
39259 |F|DK Chat de Brett's Carla             |SBI a   |30-03-2013|(DK)FD RX 213748|13151 |86477 
39260 |M|DK Chat de Brett's Carlu             |SBI c   |30-03-2013|(DK)FD RX 213747|13151 |86477 
39261 |M|DK Chat de Brett's D.J.              |SBI a   |01-06-2013|(DK)FD LO 214554|8531  |39252 
39262 |F|DK Chat de Brett's Duchess           |SBI a   |01-06-2013|(DK)FD LO 214553|8531  |39252 
39624 |F|DK Chiangmau Miss. Ataaseq           |SBI n   |03-05-2013|(DK)FD LO 213796|39611 |39616 
39626 |F|DK Chiangmau Miss. Pingasut          |SBI n 21|03-05-2013|(DK)FD LO 213798|39611 |39616 
39627 |F|DK Chiangmau Miss. Sisamat           |SBI n 21|03-05-2013|(DK)FD LO 213799|39611 |39616 
39633 |M|DK Chiangmau Mr. Marluk              |SBI b   |03-05-2013|(DK)FD LO 213797|39611 |39616 
39694 |F|DK Chicabee Adriana Lima             |SBI c 21|10-03-2013|(DK)FD LO 213161|130475|39769 
39695 |M|DK Chicabee After Eight              |SBI c 21|10-03-2013|(DK)FD LO 213158|130475|39769 
39696 |M|DK Chicabee Alcatraz                 |SBI a 21|10-03-2013|(DK)FD LO 213159|130475|39769 
39698 |M|DK Chicabee Arizona                  |SBI n 21|10-03-2013|(DK)FD LO 213160|130475|39769 
39701 |M|DK Chicabee Bermuda                  |SBI b   |11-05-2013|(DK)FD LO 213881|62063 |39772 
39702 |F|DK Chicabee Beyonce                  |SBI b   |11-05-2013|(DK)FD LO 213882|62063 |39772 
39704 |F|DK Chicabee Blåbær                   |SBI a   |11-05-2013|(DK)FD LO 213883|62063 |39772 
39705 |M|DK Chicabee Bombay                   |SBI b   |11-05-2013|(DK)FD LO 213880|62063 |39772 
39706 |M|DK Chicabee Bonzai                   |SBI b   |11-05-2013|(DK)FD LO 213879|62063 |39772 
39710 |F|DK Chicabee Camomille                |SBI n 21|15-05-2013|(DK)FD LO 213888|115847|39786 
39712 |F|DK Chicabee Chamarel                 |SBI n 21|15-05-2013|(DK)FD LO 213887|115847|39786 
39713 |F|DK Chicabee Chiffon                  |SBI n 21|15-05-2013|(DK)FD LO 213886|115847|39786 
39714 |M|DK Chicabee Chili Con Carne          |SBI n 21|15-05-2013|(DK)FD LO 213885|115847|39786 
39715 |M|DK Chicabee Coconut                  |SBI n   |15-05-2013|(DK)FD LO 213884|115847|39786 
40981 |F|DK Con Meo's Danish Design           |SBI n 21|29-04-2013|(DK)FD LO 215394|17506 |97400 
40982 |M|DK Con Meo's Danish Dynamite         |SBI a 21|29-04-2013|(DK)FD LO 215392|17506 |97400 
40985 |F|DK Con Meo's Destiny                 |SBI a 21|29-04-2013|(DK)FD LO 215395|17506 |97400 
40986 |M|DK Con Meo's Dumble                  |SBI n   |29-04-2013|(DK)FD LO 215393|17506 |97400 
40989 |M|DK Con Meo's Emil                    |SBI a 21|09-05-2013|(DK)FD LO 215397|17506 |41042 
40990 |F|DK Con Meo's Emina                   |SBI a 21|09-05-2013|(DK)FD LO 215396|17506 |41042 
40992 |F|DK Con Meo's Europa                  |SBI a   |09-05-2013|(DK)FD LO 215398|17506 |41042 
42191 |F|DK Coral Dawn's Babette              |SBI b   |25-03-2013|(DK)FD LO 213858|105762|36944 
42194 |F|DK Coral Dawn's Belle Fleur          |SBI a   |25-03-2013|(DK)FD LO 213859|105762|36944 
42196 |M|DK Coral Dawn's Billy Joe            |SBI b   |25-03-2013|(DK)FD LO 213857|105762|36944 
45628 |F|DK Delaney's Bella D'Trix            |SBI n   |15-01-2013|(DK)FD LO 213050|87266 |95302 
45629 |F|DK Delaney's Blue Fairy              |SBI a   |15-01-2013|(DK)FD LO 213049|87266 |95302 
45630 |M|DK Delaney's Bumble Bee              |SBI a   |15-01-2013|(DK)FD LO 213048|87266 |95302 
