51|F|(N)Almighty Certified For Harmony|SBI a|19-06-2000|FD LO 105163|133|49
62|F|(N)Apelia's Felina|SBI c|19-04-2000|FD LO 106030|168212|24081
216|M|(N)Calamity's Charming Dodi|SBI n|29-01-2000|FD LO 103597|170635|10292
264|F|(N)Chemitasha's Chakeela|SBI h 21|11-11-2002|FD LO 134801|167949|169286
322|M|(N)Deci Dela's Dancing Danilo|SBI n 21|01-07-2004|FD LO 134054|171484|43
349|M|(N)Effectrix Iver|SBI e 21|26-06-2008|FD LO 173949|190269|473
513|F|(N)Heljato's Blue Beauty|SBI a|05-01-1995|FD LO 81313|167526|176427
615|M|(N)Honeyheart's Commander in Chief|SBI b|05-04-2006|FD LO 142644|172222|629
633|F|(N)In Utero's Alluring Astarte|SBI a|16-06-2005|FD LO 138319|630|304
806|F|(N)Mannie Babushka|SBI g|11-04-1990|FD LO 62061|234|16647
844|F|(N)Miridania's Abigajil|SBI e 21|02-08-2007|FD LO 149655|1263|14074
845|M|(N)Miridania's Abraham|SBI n 21|02-08-2007|FD LO 149654|1263|14074
846|F|(N)Miridania's Agape|SBI f 21|02-08-2007|FD LO 149656|1263|14074
847|F|(N)Miridania's Batseba|SBI f 21|11-03-2008|FD LO 172232|1263|14074
848|M|(N)Miridania's Benjamin|SBI n|11-03-2008|FD LO 172231|1263|14074
849|F|(N)Miridania's Cedar|SBI f|10-05-2008|(DK)FD LO 205480|13984|1264
850|F|(N)Miridania's Fiona|SBI j 21|10-09-2009|(DK)FD LO 206275|84828|14074
851|F|(N)Miridania's Galileah|SBI g 21|20-03-2010|(DK)FD LO 179655|84828|844
852|M|(N)Miridania's Gideon|SBI e 21|20-03-2010|(DK)FD LO 179653|84828|844
853|M|(N)Miridania's Goliath Dipsacus|SBI e|20-03-2010|(DK)FD LO 179654|84828|844
854|F|(N)Miridania's Hagar|SBI f|04-04-2010|(DK)FD LO 200899|84828|1264
855|F|(N)Miridania's Hannah|SBI f 21|04-04-2010|(DK)FD LO 200900|84828|1264
856|F|(N)Miridania's Isabella|SBI g|27-06-2010|(DK)FD LO 205479|84828|73833
857|M|(N)Miridania's Jakob|SBI e 21|19-02-2011|(DK)FD LO 202686|84828|844
858|M|(N)Miridania's Job|SBI e 21|19-02-2011|(DK)FD LO 202687|84828|844
859|F|(N)Miridania's Jokebed|SBI g 21|19-02-2011|(DK)FD LO 202685|84828|844
860|M|(N)Miridania's Keila|SBI d 21|12-03-2011|(DK)FD LO 205071|84828|14074
861|F|(N)Miridania's Kitti|SBI f 21|12-03-2011|(DK)FD LO 205073|84828|14074
862|M|(N)Miridania's Kyros|SBI d|12-03-2011|(DK)FD LO 205072|84828|14074
863|F|(N)Miridania's Lydia|SBI n|19-03-2011|(DK)FD LO 205308|84828|73833
864|M|(N)Miridania's Noah|SBI n|13-07-2011|(DK)FD LO 208391|84828|14074
865|M|(N)Miridania's Aaron|SBI d 21|02-08-2007|FD LO 149653|1263|14074
960|M|(N)Perlemor's Brave Conan|SBI n 21|05-01-2005|FD LO 135148|170802|168638
1045|F|(N)RGJ Cat's Flame of Passion|SBI c|10-05-2007|FD LO 149465|173394|1299
1263|M|(N)Temm's Dipsacus Tootsie|SBI d 21|20-11-2003|FD LO 149368|172270|958
1264|F|(N)Temm's Gagea Lady Grace|SBI f 21|29-10-2004|(DK)FD LO 200898|7089|958
1362|F|(N)Wickmann's Blue Bianca|SBI a|16-02-1996|FD LO 85203|656|351
1445|M|@ Song Hio DK|SBI d 21|28-06-2009|FD LO 176961|176446|19034
1632|F|Abbie 11-23|SBI a|03-05-2011|(DK)FD RX 204307|39762|73854
1664|F|Abeline 00-36|SBI b|08-04-2000|FD LO 103949|66122|136399
1676|F|Abelone Fenelli Borea Ohion DK|SBI n|13-06-1994|FD LO 76729|179132|7241
1900|M|AC/DC Song Hio DK|SBI n|28-06-2009|FD LO 176962|176446|19034
1915|M|Ace Shan von Gott DK|SBI n|02-04-1993|FD LO 70766|83085|24381
1966|F|Adagio 00-159|SBI h|27-10-2000|FD LO 106463|172118|158222
1977|M|Adam 08-70|SBI a|05-06-2008|FD LO 172882|150734|45996
2054|F|Addeilo Elvira|SBI n|20-09-1992|FD RX 12625|162483|153364
2071|F|Addi 08-71|SBI a|05-06-2008|FD LO 172883|150734|45996
2102|F|Adene Kempes DK|SBI n|08-12-1992|FD LO 70032|119481|40054
2291|M|Adonis von Petri DK|SBI a 21|09-05-1999|FD LO 100334|18841|109163
2317|F|Adqualo Felicity|SBI a|06-04-1996|FD RX 12077|2344|2054
2371|M|Adrian 01-102|SBI b|30-07-2001|FD LO 111560|191486|183674
2560|F|Afrodite|SBI n|06-12-2008|(DK)FD LO 204801|169536|172317
2564|F|Afrodite 08-69|SBI n 21|21-05-2008|FD LO 172700|61937|46585
2572|F|Afrodite 93-54|SBI a|25-03-1993|FD LO 70926|15639|72733
2587|F|Afrodite Kiska DK|SBI f|07-06-1990|FD LO 59620|168011|24553
2591|F|Afrodite von Petri DK|SBI n 21|09-05-1999|FD LO 100336|18841|109163
2621|M|Against All Odds Song Hio DK|SBI b|13-01-2000|FD LO 103002|172116|170638
2625|M|Agapanthus 07-29A|SBI n 21|14-08-2007|FD LO 149010|94567|67632
2644|M|Agave Oliver von Gott DK|SBI n|02-04-1993|FD LO 70769|83085|24381
